3638,1428.88,0.0000,0.0000,2.34,0.00,-1.36,1.00,-0.12,0.03,0.00,10,-11,0,0
4698,1427.88,0.0000,0.0000,2.25,0.00,-1.39,1.00,-0.12,0.03,0.00,10,-9,0,0
5005,1428.19,0.0000,0.0000,2.23,0.00,-1.40,2.23,0.00,-1.40,0.00,10,-11,0,0
7098,1428.19,0.0000,0.0000,2.23,0.00,-1.40,1.00,-0.12,0.04,0.00,10,-9,0,0
7261,1428.06,0.0000,0.0000,2.20,0.00,-1.41,1.00,-0.12,0.03,0.00,10,-11,0,0
7448,1428.06,0.0000,0.0000,2.20,0.00,-1.40,1.00,-0.12,0.03,0.00,10,-9,0,0
7656,1429.06,0.0000,0.0000,2.21,0.00,-1.40,2.21,0.00,-1.40,1.00,10,-11,0,0
7709,1429.06,0.0000,0.0000,2.22,0.00,-1.40,1.00,-0.12,0.03,3.00,10,-9,0,0
7762,1429.06,0.0000,0.0000,2.21,0.00,-1.40,1.00,-0.12,0.03,3.00,10,-11,0,0
7816,1429.06,0.0000,0.0000,2.21,0.00,-1.40,2.21,0.00,-1.40,3.00,10,-9,0,0
8534,1428.38,0.0000,0.0000,2.20,0.00,-1.40,1.00,-0.12,0.03,0.00,10,-11,0,0
8931,1427.56,0.0000,0.0000,2.18,0.00,-1.41,1.00,-0.12,0.04,0.00,10,-9,0,0
10967,1427.56,0.0000,0.0000,2.18,0.00,-1.41,1.00,-0.12,0.03,1.00,10,-11,0,0
12446,1428.88,0.0000,0.0000,2.19,0.00,-1.41,1.00,-0.12,0.02,0.00,10,-11,0,0
12536,1428.31,0.0000,0.0000,2.20,0.00,-1.41,1.00,-0.12,0.03,0.00,10,-9,0,0
12919,1428.75,0.0000,0.0000,2.20,0.00,-1.40,1.00,-0.12,0.02,1.00,10,-11,0,0
12973,1428.75,0.0000,0.0000,2.21,0.00,-1.40,1.00,-0.12,0.04,1.00,10,-9,0,0
13123,1428.75,0.0000,0.0000,2.21,0.00,-1.39,1.00,-0.12,0.02,1.00,10,-11,0,0
13177,1428.75,0.0000,0.0000,2.23,0.00,-1.39,1.00,-0.12,0.02,0.00,10,-9,0,0
13230,1428.75,0.0000,0.0000,2.23,0.00,-1.39,1.00,-0.12,0.02,1.00,10,-11,0,0
13287,1428.75,0.0000,0.0000,2.23,0.00,-1.39,2.23,0.00,-1.39,0.00,10,-9,0,0
13340,1428.13,0.0000,0.0000,2.22,0.00,-1.39,1.00,-0.12,0.04,2.00,10,-11,0,0
13393,1428.13,0.0000,0.0000,2.22,0.00,-1.39,1.00,-0.12,0.04,2.00,10,-9,0,0
13564,1428.13,0.0000,0.0000,2.21,0.00,-1.40,1.00,-0.12,0.03,2.00,10,-11,0,0
13710,1428.13,0.0000,0.0000,2.21,0.00,-1.40,1.00,-0.11,0.04,0.00,10,-9,0,0
13763,1428.56,0.0000,0.0000,2.20,0.00,-1.40,1.00,-0.12,0.02,0.00,10,-11,0,0
13816,1428.56,0.0000,0.0000,2.20,0.00,-1.40,1.00,-0.12,0.03,1.00,10,-9,0,0
14123,1428.56,0.0000,0.0000,2.20,0.00,-1.40,2.20,0.00,-1.40,0.00,10,-11,0,0
14188,1427.69,0.0000,0.0000,2.19,0.00,-1.40,1.00,-0.13,0.02,0.00,10,-9,0,0
14245,1427.69,0.0000,0.0000,2.19,0.00,-1.40,1.00,-0.12,0.03,1.00,10,-11,0,0
14298,1427.69,0.0000,0.0000,2.19,0.00,-1.40,1.00,-0.12,0.05,3.00,10,-9,0,0
14351,1427.69,0.0000,0.0000,2.18,0.00,-1.40,1.00,-0.13,0.04,3.00,10,-11,0,0
14404,1427.69,0.0000,0.0000,2.18,0.00,-1.40,1.01,-0.11,0.03,3.00,10,-9,0,0
14457,1427.69,0.0000,0.0000,2.18,0.00,-1.40,1.02,-0.06,0.05,0.00,10,-11,0,0
14528,1427.69,0.0000,0.0000,2.18,0.00,-1.40,1.00,-0.12,0.03,0.00,10,-9,0,0
14581,1428.19,0.0000,0.0000,2.17,0.00,-1.41,1.00,-0.12,0.04,1.00,10,-11,0,0
14639,1428.19,0.0000,0.0000,2.18,0.00,-1.40,1.00,-0.12,0.03,1.00,10,-9,0,0
14692,1428.19,0.0000,0.0000,2.18,0.00,-1.40,1.00,-0.11,0.03,1.00,10,-11,0,0
14745,1428.19,0.0000,0.0000,2.18,0.00,-1.40,1.00,-0.12,0.03,1.00,10,-9,0,0
14797,1428.19,0.0000,0.0000,2.18,0.00,-1.40,1.00,-0.13,0.03,1.00,10,-11,0,0
14851,1428.19,0.0000,0.0000,2.19,0.00,-1.39,1.00,-0.12,0.03,0.00,10,-9,0,0
14904,1428.19,0.0000,0.0000,2.19,0.00,-1.39,1.00,-0.12,0.03,0.00,10,-11,0,0
14961,1428.19,0.0000,0.0000,2.20,0.00,-1.39,2.20,0.00,-1.39,0.00,10,-9,0,0
15149,1427.75,0.0000,0.0000,2.20,0.00,-1.39,1.00,-0.12,0.04,1.00,10,-11,0,0
